image,mask
training_data/images/real_0_9.jpg,training_data/masks/mask_0_9_0.jpg
training_data/images/real_0_9.jpg,training_data/masks/mask_0_9_1.jpg
training_data/images/real_0_10.jpg,training_data/masks/mask_0_10_0.jpg
training_data/images/real_0_10.jpg,training_data/masks/mask_0_10_1.jpg
training_data/images/real_0_11.jpg,training_data/masks/mask_0_11_0.jpg
training_data/images/real_0_11.jpg,training_data/masks/mask_0_11_1.jpg
training_data/images/real_0_12.jpg,training_data/masks/mask_0_12_0.jpg
training_data/images/real_0_12.jpg,training_data/masks/mask_0_12_1.jpg
training_data/images/real_0_13.jpg,training_data/masks/mask_0_13_0.jpg
training_data/images/real_0_13.jpg,training_data/masks/mask_0_13_1.jpg
training_data/images/real_0_14.jpg,training_data/masks/mask_0_14_0.jpg
training_data/images/real_0_14.jpg,training_data/masks/mask_0_14_1.jpg
training_data/images/real_0_15.jpg,training_data/masks/mask_0_15_0.jpg
training_data/images/real_0_15.jpg,training_data/masks/mask_0_15_1.jpg
training_data/images/real_0_16.jpg,training_data/masks/mask_0_16_0.jpg
training_data/images/real_0_16.jpg,training_data/masks/mask_0_16_1.jpg
training_data/images/real_0_17.jpg,training_data/masks/mask_0_17_0.jpg
training_data/images/real_0_18.jpg,training_data/masks/mask_0_18_0.jpg
training_data/images/real_0_18.jpg,training_data/masks/mask_0_18_1.jpg
training_data/images/real_0_19.jpg,training_data/masks/mask_0_19_0.jpg
training_data/images/real_0_19.jpg,training_data/masks/mask_0_19_1.jpg
training_data/images/real_0_20.jpg,training_data/masks/mask_0_20_0.jpg
training_data/images/real_0_20.jpg,training_data/masks/mask_0_20_1.jpg
training_data/images/real_0_21.jpg,training_data/masks/mask_0_21_0.jpg
training_data/images/real_0_21.jpg,training_data/masks/mask_0_21_1.jpg
training_data/images/real_0_22.jpg,training_data/masks/mask_0_22_0.jpg
training_data/images/real_0_22.jpg,training_data/masks/mask_0_22_1.jpg
training_data/images/real_0_23.jpg,training_data/masks/mask_0_23_0.jpg
training_data/images/real_0_23.jpg,training_data/masks/mask_0_23_1.jpg
training_data/images/real_0_24.jpg,training_data/masks/mask_0_24_0.jpg
training_data/images/real_0_24.jpg,training_data/masks/mask_0_24_1.jpg
training_data/images/real_0_25.jpg,training_data/masks/mask_0_25_0.jpg
training_data/images/real_0_25.jpg,training_data/masks/mask_0_25_1.jpg
training_data/images/real_0_26.jpg,training_data/masks/mask_0_26_0.jpg
training_data/images/real_0_26.jpg,training_data/masks/mask_0_26_1.jpg
training_data/images/real_0_27.jpg,training_data/masks/mask_0_27_0.jpg
training_data/images/real_0_27.jpg,training_data/masks/mask_0_27_1.jpg
training_data/images/real_0_28.jpg,training_data/masks/mask_0_28_0.jpg
training_data/images/real_0_28.jpg,training_data/masks/mask_0_28_1.jpg
training_data/images/real_0_29.jpg,training_data/masks/mask_0_29_0.jpg
training_data/images/real_0_30.jpg,training_data/masks/mask_0_30_0.jpg
training_data/images/real_0_30.jpg,training_data/masks/mask_0_30_1.jpg
training_data/images/real_0_31.jpg,training_data/masks/mask_0_31_0.jpg
training_data/images/real_0_31.jpg,training_data/masks/mask_0_31_1.jpg
training_data/images/real_0_32.jpg,training_data/masks/mask_0_32_0.jpg
training_data/images/real_0_32.jpg,training_data/masks/mask_0_32_1.jpg
training_data/images/real_0_33.jpg,training_data/masks/mask_0_33_0.jpg
training_data/images/real_0_33.jpg,training_data/masks/mask_0_33_1.jpg
