A,E,M,P,C,D,Z
6,0,0,0,1,0,0
8,0,1,0,1,0,0
5,0,0,0,1,0,0
7,0,0,0,1,0,0
7,0,0,0,1,0,0
5,0,0,0,1,0,0
7,0,0,0,1,0,0
6,0,0,0,1,0,0
6,0,0,0,1,0,0
8,0,0,0,1,0,0
8,0,1,0,1,0,0
7,0,0,0,1,0,0
8,0,0,0,1,0,0
7,0,0,0,1,0,0
6,0,0,0,1,0,0
7,0,0,0,1,0,0
7,0,0,0,1,0,0
7,0,0,0,1,0,0
7,0,0,0,1,0,0
7,0,0,0,1,0,0
6,0,0,0,1,0,0
7,1,0,0,1,0,0
7,0,0,0,1,0,0
8,1,1,0,2,0,0
10,1,1,0,2,0,0
9,1,1,0,2,0,0
9,1,1,0,2,0,0
9,1,1,0,2,0,0
8,1,1,0,2,0,0
10,1,1,0,2,0,0
9,1,1,0,2,0,0
8,1,0,0,2,0,0
9,1,1,0,1,0,0
9,1,1,0,1,0,0
10,1,1,0,1,0,0
11,1,1,0,2,0,0
12,1,1,0,2,0,0
14,1,2,0,2,0,0
14,1,2,0,2,0,0
15,1,1,0,2,0,0
13,1,2,0,2,0,0
13,1,2,0,2,0,0
13,1,2,0,2,0,0
14,1,2,0,2,0,0
12,1,1,0,2,0,0
15,1,2,0,2,0,0
12,1,1,0,2,0,0
13,1,1,0,2,0,0
14,1,2,0,2,0,0
14,1,2,0,2,0,0
15,1,2,0,2,0,0
15,1,2,0,3,0,0
16,1,2,0,3,0,0
16,2,2,0,3,0,0
17,1,2,0,3,0,0
18,2,2,0,3,1,0
18,1,3,0,3,0,0
20,2,3,0,3,1,0
17,1,3,0,3,1,0
16,1,3,0,3,1,0
17,1,3,0,3,1,0
17,1,3,0,3,1,0
17,1,3,0,3,1,0
17,2,3,0,3,1,0
18,1,3,0,3,1,0
20,2,3,0,4,1,0
21,2,3,0,4,1,0
19,2,3,0,4,1,0
19,2,3,0,4,1,0
19,1,3,0,4,1,0
19,1,2,0,4,1,0
20,1,2,0,4,1,0
20,1,2,0,4,1,0
20,1,2,0,4,1,0
20,1,2,0,4,1,0
21,1,3,0,4,1,0
18,2,3,0,3,1,0
20,2,3,0,3,1,0
22,2,3,0,4,1,0
21,2,3,0,4,1,0
23,2,4,0,4,1,0
24,2,4,0,4,1,0
31,2,5,0,4,1,0
31,2,5,0,5,1,0
32,3,6,0,5,1,0
33,3,6,0,5,1,0
32,3,6,0,5,1,0
31,3,5,0,5,1,0
31,3,5,0,5,1,0
32,3,5,0,5,1,0
33,3,6,0,5,1,0
31,3,5,0,5,1,0
31,3,6,0,5,1,0
31,3,6,0,5,1,0
29,2,5,0,5,1,0
32,3,5,0,5,1,0
33,3,6,0,5,1,0
30,3,6,0,5,1,0
31,3,5,0,5,1,0
33,3,6,0,5,1,0
34,3,6,0,5,1,0
33,3,5,0,5,1,0
35,3,6,0,5,1,0
36,3,6,0,5,1,0
43,3,7,0,6,1,0
39,4,7,0,6,2,0
52,4,10,0,7,2,0
49,4,10,0,7,2,0
50,4,10,0,7,2,0
55,4,11,0,7,2,0
53,4,11,0,7,2,0
53,4,11,0,7,2,0
51,4,10,0,7,2,0
52,4,11,0,7,2,0
54,5,11,0,7,3,0
63,5,13,0,8,3,0
57,5,11,0,8,3,0
60,5,12,0,8,2,0
66,5,12,0,9,2,0
59,5,12,0,8,2,0
61,5,12,0,8,2,0
64,5,13,0,8,2,0
64,5,13,0,8,3,0
58,5,12,0,8,2,0
61,5,13,0,8,2,0
71,5,13,0,8,2,0
72,4,13,0,8,2,0
73,4,13,0,9,2,0
73,5,14,0,9,2,0
80,5,15,0,9,2,0
70,4,12,0,8,2,0
78,5,14,0,9,2,0
73,5,13,0,9,2,0
71,5,13,0,9,2,0
76,5,14,0,9,2,0
74,5,14,0,9,2,0
75,5,14,0,9,2,0
78,5,15,0,9,3,0
83,5,15,0,9,3,0
83,6,15,0,9,3,0
80,6,15,0,10,3,0
79,6,15,0,9,3,0
89,6,16,0,10,3,0
99,6,17,0,11,3,0
88,6,16,0,10,3,0
85,6,16,0,10,3,0
98,6,18,0,11,3,0
99,6,17,0,11,3,0
90,6,16,0,10,3,0
84,6,15,0,10,3,0
100,6,17,0,11,4,0
109,6,19,0,12,4,0
93,6,17,0,11,4,0
100,6,17,0,11,4,0
82,6,15,0,10,3,0
101,6,17,0,12,4,0
110,7,19,0,13,4,0
106,6,18,0,12,4,0
108,6,18,0,12,4,0
112,7,19,0,13,4,1
105,6,18,0,12,4,1
111,6,19,0,13,4,1
111,6,19,0,13,4,1
111,7,19,0,13,4,1
116,7,20,0,14,4,1
121,7,21,0,14,4,1
116,7,20,0,13,4,1
119,7,21,0,14,4,1
123,7,22,0,14,4,1
130,7,23,0,15,5,1
133,7,24,0,15,5,1
133,7,24,0,15,5,1
129,7,23,0,15,5,1
129,7,24,0,15,5,1
132,7,24,0,15,5,1
132,7,25,0,15,5,1
138,7,26,0,16,5,1
154,7,28,0,17,6,1
164,8,28,0,18,5,1
149,7,27,0,16,5,1
161,8,29,0,18,6,1
159,7,29,0,17,5,1
159,7,29,0,17,6,1
171,8,31,0,19,6,1
140,7,28,0,16,5,2
154,7,29,0,17,5,2
153,8,30,0,17,5,2
145,7,29,0,17,5,2
154,7,30,0,17,5,2
153,7,30,0,17,5,2
161,8,30,0,18,6,1
149,8,29,0,17,5,2
155,8,30,0,17,5,1
159,8,30,0,17,5,1
173,8,32,0,19,6,1
171,8,32,0,19,6,1
162,8,32,0,18,6,2
155,8,30,0,17,6,2
166,8,31,0,19,6,2
164,8,32,0,19,6,2
159,8,30,0,18,5,2
153,8,30,0,17,5,2
166,8,31,0,19,6,1
160,8,30,0,18,5,1
155,8,29,0,18,5,1
178,8,32,0,20,6,1
177,8,33,0,20,6,1
154,7,30,0,17,6,1
147,7,29,0,17,5,1
148,7,29,0,17,5,1
157,8,31,0,18,6,1
157,7,31,0,18,6,1
162,8,32,0,18,6,1
165,8,32,0,19,6,2
151,7,31,0,17,6,2
153,7,31,0,17,6,2
164,8,32,0,18,6,2
186,8,35,0,20,6,2
180,8,34,0,20,6,2
190,8,35,0,20,7,2
207,9,37,0,22,7,2
211,9,38,0,22,7,2
221,10,40,0,24,7,2
223,10,40,0,24,7,2
223,10,40,0,24,8,2
208,9,38,0,22,7,2
224,9,39,0,23,7,1
242,10,42,0,25,8,1
239,10,42,0,25,8,1
241,10,42,0,25,8,1
255,11,44,0,27,8,1
246,11,43,0,26,8,1
251,11,43,0,26,8,1
251,11,44,0,26,9,1
3,11,45,0,27,9,1
3,12,45,0,28,9,1
236,12,44,0,27,9,1
11,14,46,0,30,9,1
249,13,44,0,29,9,1
3,13,45,0,29,9,1
239,13,43,0,28,9,1
234,13,42,0,27,9,1
231,12,45,0,26,10,1
206,12,41,0,25,9,1
208,12,41,0,24,9,1
202,11,40,0,24,9,1
10,16,53,0,31,12,1
229,12,44,0,26,10,1
228,12,42,0,26,9,1
240,14,45,0,28,10,1
247,14,45,0,29,10,1
206,11,38,0,24,8,1
217,12,38,0,25,9,1
233,12,43,0,26,10,1
